employee_id,age,gender,department,job_role,education,years_at_company,monthly_salary,performance_rating,satisfaction_score,work_life_balance,overtime,attrition,last_promotion_years_ago
EMP-1288,55,Female,Marketing,Marketing Analyst,Bachelor's,16,106343,4,3.6,3,1,0,4
EMP-1289,58,Female,Sales,Sales Rep,Bachelor's,1,62027,2,1.6,2,0,0,1
EMP-1290,34,Female,Operations,Supply Chain Analyst,Bachelor's,13,70147,4,1.6,2,1,0,6
EMP-1291,41,Male,Finance,Financial Analyst,Master's,6,85987,1,1.2,1,0,1,1
EMP-1292,34,Female,Operations,Logistics Coordinator,Bachelor's,1,79684,1,4.9,3,0,0,1
EMP-1293,46,Male,Finance,Accountant,Bachelor's,11,122859,3,4.2,3,0,0,6
EMP-1294,28,Male,Finance,CFO,PhD,2,61646,3,2.7,2,0,0,0
EMP-1295,39,Non-binary,HR,HR Coordinator,Bachelor's,6,44060,2,1.1,5,1,1,4
EMP-1296,22,Male,Finance,Financial Analyst,Master's,0,97008,2,3.2,4,0,0,0
EMP-1297,45,Female,Operations,Supply Chain Analyst,PhD,5,56590,5,1.8,1,0,0,5
EMP-1298,24,Female,Finance,Financial Analyst,Bachelor's,0,115314,1,2.7,2,0,0,0
EMP-1299,54,Male,HR,HR Manager,Master's,2,81761,4,4.8,3,0,0,0
EMP-1300,35,Non-binary,Engineering,Data Engineer,Master's,8,132233,2,1.2,1,0,0,0
EMP-1301,53,Female,Engineering,Data Engineer,Bachelor's,9,295715,2,1.3,3,1,0,6
EMP-1302,50,Male,HR,Recruiter,Bachelor's,10,79857,4,3.8,3,1,0,8
EMP-1303,34,Male,Engineering,DevOps,Master's,3,114130,5,4.9,4,0,0,2
EMP-1304,43,Male,Engineering,Data Engineer,Bachelor's,3,129249,4,2.5,3,0,0,3
EMP-1305,30,Female,Operations,Operations Manager,Master's,9,62554,3,4.2,3,0,0,6
EMP-1306,38,Female,HR,HR Manager,Master's,15,70057,2,2.8,1,1,1,10
EMP-1307,58,Female,Sales,Sales Rep,Bachelor's,15,108400,3,4.9,4,1,1,2
EMP-1308,50,Male,Engineering,Data Engineer,Bachelor's,17,176217,2,2.8,2,1,1,3
EMP-1309,45,Male,Sales,Account Manager,Master's,16,75356,5,4.7,2,1,0,12
EMP-1310,48,Male,Sales,Sales Manager,High School,16,95841,4,2.0,3,1,1,10
EMP-1311,43,Female,Operations,Operations Manager,Bachelor's,20,79465,3,1.8,2,0,0,1
EMP-1312,27,Male,Sales,Sales Manager,Bachelor's,6,95724,1,3.8,3,1,1,1
EMP-1313,22,Female,Finance,CFO,Bachelor's,1,91999,5,3.5,2,0,1,0
EMP-1314,25,Female,Finance,Financial Analyst,Master's,1,91611,2,3.3,3,0,0,0
EMP-1315,52,Male,Finance,Accountant,Master's,2,71815,2,4.2,4,0,0,1
EMP-1316,56,Female,HR,Recruiter,Bachelor's,11,74791,2,3.3,3,0,0,5
EMP-1317,49,Male,Finance,CFO,Bachelor's,20,91600,3,2.4,5,0,1,5
EMP-1318,25,Male,HR,HR Coordinator,High School,3,49373,2,1.5,5,0,1,1
EMP-1319,23,Male,Marketing,SEO Specialist,Bachelor's,0,63607,5,4.4,1,0,0,0
EMP-1320,28,Male,Marketing,Marketing Analyst,PhD,0,92377,5,1.8,2,0,1,0
EMP-1321,37,Female,Sales,Sales Rep,PhD,2,45402,4,4.2,3,0,1,0
EMP-1322,29,Female,HR,Recruiter,Master's,5,73219,2,2.6,1,0,0,3
EMP-1323,24,Female,Sales,Sales Rep,Bachelor's,2,74450,1,2.9,5,1,0,0
EMP-1324,42,Male,Operations,Logistics Coordinator,Master's,19,77227,3,2.4,5,1,0,1
EMP-1325,59,Male,Engineering,Software Engineer,Bachelor's,11,159844,5,3.6,1,1,0,4
EMP-1326,47,Male,Finance,Financial Analyst,PhD,5,117949,4,2.0,4,0,1,3
EMP-1327,30,Female,HR,HR Coordinator,Master's,4,73067,4,2.5,2,0,0,4
EMP-1328,40,Female,Operations,Logistics Coordinator,PhD,19,110651,2,1.5,2,1,0,10
EMP-1329,29,Female,Sales,Sales Manager,Bachelor's,6,50884,3,1.1,4,0,0,4
EMP-1330,31,Female,Engineering,DevOps,Bachelor's,1,75404,2,3.2,4,0,0,1
EMP-1331,30,Female,HR,HR Coordinator,Master's,3,40746,2,4.0,4,0,0,1
EMP-1332,34,Female,Finance,Financial Analyst,Bachelor's,5,108838,3,2.8,2,1,0,0
EMP-1333,24,Female,Engineering,QA Engineer,Master's,0,82218,2,4.4,3,1,0,0
EMP-1334,33,Male,Engineering,Software Engineer,High School,8,109941,1,3.7,3,0,0,3
EMP-1335,33,Male,Sales,Account Manager,Bachelor's,0,65878,5,4.1,2,1,0,0
EMP-1336,24,Female,Marketing,Marketing Analyst,Master's,3,60810,4,2.1,3,1,0,0
EMP-1337,26,Male,Finance,Accountant,Master's,0,73287,2,1.1,4,0,0,0
EMP-1338,55,Female,Sales,Sales Rep,Bachelor's,14,107383,1,2.5,1,0,0,7
EMP-1339,25,Male,HR,HR Manager,Bachelor's,3,58589,2,1.4,3,1,0,2
EMP-1340,38,Female,Operations,Operations Manager,Master's,10,77377,3,3.0,3,1,0,10
EMP-1341,51,Male,HR,Recruiter,Master's,18,74215,3,3.2,5,0,0,17
EMP-1342,40,Male,Sales,Sales Manager,High School,0,53729,4,3.4,4,0,1,0
EMP-1343,50,Male,Sales,Account Manager,Bachelor's,15,110485,1,2.7,2,0,0,15
EMP-1344,39,Male,Finance,CFO,PhD,5,62004,1,4.3,3,0,0,1
EMP-1345,30,Female,Engineering,Data Engineer,Bachelor's,8,105157,2,3.1,3,1,0,6
EMP-1346,56,Male,HR,HR Coordinator,Master's,11,91274,1,3.5,2,1,0,2
EMP-1347,46,Female,Finance,CFO,Bachelor's,15,140053,5,4.8,3,0,0,4
EMP-1348,45,Female,Marketing,Marketing Analyst,Bachelor's,2,88962,5,4.9,5,0,1,2
EMP-1349,33,Female,Sales,Sales Rep,Bachelor's,9,57943,4,3.2,4,0,0,4
EMP-1350,32,Male,HR,HR Manager,High School,4,60340,4,1.4,3,0,0,4
EMP-1351,38,Male,HR,HR Manager,PhD,3,57931,5,1.8,2,0,0,2
EMP-1352,32,Female,Sales,Sales Manager,Bachelor's,5,79747,3,3.3,3,1,0,1
EMP-1353,38,Female,HR,HR Manager,Bachelor's,15,59591,1,4.1,3,0,0,8
EMP-1354,49,Male,HR,HR Manager,PhD,20,65741,2,2.5,1,0,0,7
EMP-1355,38,Male,Sales,Sales Rep,Bachelor's,11,64285,3,3.1,1,1,0,4
EMP-1356,58,Female,Operations,Logistics Coordinator,PhD,13,64131,1,2.9,1,0,0,6
EMP-1357,36,Male,Sales,Account Manager,Bachelor's,6,59053,4,2.0,4,0,0,2
EMP-1358,32,Male,Finance,Accountant,Master's,1,65322,2,1.7,1,0,0,0
EMP-1359,38,Female,Sales,Sales Rep,Bachelor's,13,101259,2,2.5,2,0,1,5
EMP-1360,45,Male,Engineering,DevOps,High School,16,137911,2,4.6,2,1,0,8
EMP-1361,46,Female,Marketing,SEO Specialist,Bachelor's,7,69055,4,3.0,5,1,0,7
EMP-1362,42,Female,Engineering,Data Engineer,PhD,1,104113,4,4.9,2,0,0,0
EMP-1363,44,Male,Finance,CFO,High School,18,135124,5,4.5,3,1,0,12
EMP-1364,33,Female,Sales,Account Manager,PhD,7,84181,3,1.8,4,0,0,4
EMP-1365,32,Male,Marketing,SEO Specialist,Bachelor's,9,113433,1,2.6,2,0,0,3
EMP-1366,30,Male,Marketing,SEO Specialist,Bachelor's,3,61274,3,3.0,4,1,0,0
EMP-1367,47,Male,HR,HR Manager,High School,11,87204,5,4.8,4,0,0,2
EMP-1368,32,Female,Marketing,Content Strategist,Bachelor's,9,112360,5,4.7,1,0,0,8
EMP-1369,56,Female,Engineering,DevOps,Bachelor's,20,122374,1,3.8,2,0,0,13
EMP-1370,33,Male,HR,Recruiter,Master's,3,73353,1,3.2,1,0,0,3
EMP-1371,52,Male,Engineering,Software Engineer,Bachelor's,20,172768,1,2.9,4,0,0,8
EMP-1372,25,Male,Engineering,Data Engineer,Bachelor's,0,77307,3,3.3,2,1,0,0
EMP-1373,50,Female,Marketing,Content Strategist,Bachelor's,18,79290,1,1.4,3,1,1,3
EMP-1374,43,Male,HR,HR Coordinator,Bachelor's,13,65410,3,4.4,4,0,0,13
EMP-1375,59,Male,Finance,CFO,Master's,12,126783,4,5.0,3,0,0,8
EMP-1376,47,Male,HR,Recruiter,Master's,11,52071,5,3.9,5,0,0,6
EMP-1377,29,Male,Operations,Operations Manager,Bachelor's,5,50024,2,4.5,1,0,0,3
EMP-1378,24,Female,Engineering,Software Engineer,Bachelor's,3,142974,2,3.3,3,1,0,3
EMP-1379,34,Male,Sales,Sales Rep,Master's,5,65030,3,3.6,3,0,0,2
EMP-1380,58,Female,Engineering,Software Engineer,Bachelor's,19,101799,4,3.8,4,1,1,1
EMP-1381,47,Male,Operations,Operations Manager,Bachelor's,14,92371,4,1.5,2,0,0,1
EMP-1382,28,Female,HR,HR Manager,Bachelor's,5,55349,4,3.9,2,1,0,0
EMP-1383,55,Male,Sales,Account Manager,Bachelor's,0,80344,3,4.5,4,1,0,0
EMP-1384,34,Female,HR,Recruiter,Bachelor's,3,50785,1,3.6,4,0,0,1
EMP-1385,50,Female,Marketing,Marketing Analyst,Bachelor's,14,72200,1,2.8,5,0,0,2
EMP-1386,48,Male,Sales,Account Manager,Master's,14,105538,3,2.2,4,0,1,0
EMP-1387,46,Female,Finance,Accountant,Master's,3,121185,5,3.3,2,0,0,2
EMP-1388,59,Male,Engineering,QA Engineer,Bachelor's,14,103920,1,2.9,3,0,0,14
EMP-1389,44,Female,Marketing,Content Strategist,Bachelor's,7,84524,4,2.5,1,1,0,3
EMP-1390,48,Male,HR,HR Manager,Master's,16,93142,2,3.1,4,0,0,13
EMP-1391,42,Female,Operations,Supply Chain Analyst,Bachelor's,6,54178,1,1.7,3,0,0,0
EMP-1392,24,Male,Finance,CFO,High School,2,68439,2,2.7,4,0,0,1
EMP-1393,57,Male,Finance,CFO,Bachelor's,18,85481,4,2.0,5,0,0,1
EMP-1394,24,Female,HR,HR Coordinator,Master's,0,76775,4,3.9,3,0,0,0
EMP-1395,59,Male,Finance,Financial Analyst,Bachelor's,4,118208,5,2.2,3,0,0,4
EMP-1396,46,Male,Engineering,QA Engineer,Master's,9,122901,2,2.3,3,0,1,1
EMP-1397,44,Female,HR,Recruiter,Master's,5,50056,5,4.4,2,0,0,0
EMP-1398,57,Male,HR,Recruiter,Master's,4,71480,2,1.7,3,1,0,0
EMP-1399,33,Male,Operations,Logistics Coordinator,PhD,8,66529,1,4.5,3,0,0,6
EMP-1400,22,Male,Finance,CFO,Master's,1,63151,5,3.2,3,0,0,1
EMP-1401,28,Female,Sales,Sales Rep,Bachelor's,3,52364,3,1.9,2,0,0,2
EMP-1402,46,Male,HR,HR Coordinator,Bachelor's,5,78061,1,3.9,3,1,0,1
EMP-1403,55,Female,Engineering,DevOps,Bachelor's,6,135150,2,3.2,1,1,0,3
EMP-1404,59,Female,Operations,Supply Chain Analyst,Master's,10,81147,5,1.0,3,0,0,0
EMP-1405,37,Male,Marketing,Content Strategist,Master's,2,63575,1,4.2,2,0,1,1
EMP-1406,32,Male,Finance,Accountant,Bachelor's,3,110857,5,4.8,5,0,0,1
EMP-1407,48,Female,Marketing,Marketing Analyst,Bachelor's,2,100042,1,2.6,5,0,0,1
EMP-1408,31,Female,Finance,Financial Analyst,Bachelor's,2,111310,1,3.1,1,0,0,0
EMP-1409,50,Female,Finance,Financial Analyst,Bachelor's,19,101587,1,3.8,1,0,0,14
EMP-1410,32,Female,Operations,Operations Manager,Master's,9,99583,2,3.9,2,0,0,9
EMP-1411,24,Male,HR,HR Manager,Bachelor's,0,79884,5,2.4,4,0,0,0
EMP-1412,26,Male,Finance,Financial Analyst,High School,5,89576,3,3.1,2,1,0,1
EMP-1413,59,Male,Engineering,DevOps,Bachelor's,2,133980,1,2.4,5,1,1,2
EMP-1414,29,Male,Operations,Logistics Coordinator,Bachelor's,3,72499,2,2.2,4,0,0,2
EMP-1415,25,Non-binary,Finance,Accountant,Bachelor's,1,65034,3,2.5,1,1,0,1
EMP-1416,53,Female,Marketing,Marketing Analyst,Master's,10,86957,5,4.0,5,1,0,9
EMP-1417,34,Male,Sales,Account Manager,Bachelor's,5,46218,3,2.4,2,1,0,2
EMP-1418,37,Female,Operations,Logistics Coordinator,Bachelor's,11,103005,2,2.4,4,0,0,5
EMP-1419,31,Male,HR,HR Coordinator,Bachelor's,10,56687,2,4.2,1,0,0,6
EMP-1420,44,Male,Sales,Account Manager,PhD,19,106932,5,3.4,3,0,0,1
EMP-1421,44,Male,Marketing,SEO Specialist,Master's,3,57931,2,4.5,3,0,0,3
EMP-1422,43,Male,Engineering,DevOps,High School,9,143745,2,2.4,5,0,0,7
EMP-1423,59,Female,Sales,Sales Rep,Master's,18,95490,5,2.7,1,0,0,12
EMP-1424,37,Male,HR,HR Manager,Bachelor's,16,101408,4,4.7,2,1,0,12
EMP-1425,43,Female,Finance,Accountant,High School,10,100858,5,1.1,5,1,0,10
EMP-1426,49,Male,HR,HR Coordinator,High School,13,93600,3,2.9,5,0,0,6
EMP-1427,22,Female,Finance,CFO,Master's,0,56405,5,4.5,4,0,0,0
EMP-1428,49,Female,Finance,Accountant,Bachelor's,15,135380,1,3.8,5,1,0,1
EMP-1429,30,Female,Sales,Sales Rep,PhD,7,83760,2,1.6,3,1,1,7
EMP-1430,39,Male,Engineering,DevOps,Bachelor's,18,150639,5,1.8,2,0,0,2
EMP-1431,26,Male,Operations,Operations Manager,Master's,5,52433,2,2.9,1,0,0,0
EMP-1432,36,Male,Marketing,SEO Specialist,Bachelor's,13,84856,3,3.1,4,0,0,2
EMP-1433,48,Male,HR,Recruiter,Bachelor's,1,53402,1,4.4,4,0,0,0
EMP-1434,54,Female,Finance,Accountant,Bachelor's,3,74538,2,1.4,3,0,0,2
EMP-1435,37,Female,HR,HR Manager,Bachelor's,8,77968,4,1.0,1,0,0,0
EMP-1436,36,Male,Marketing,Marketing Analyst,Bachelor's,10,85646,3,3.2,2,0,0,9
EMP-1437,38,Male,Operations,Operations Manager,Bachelor's,10,96784,2,3.7,2,0,0,7
EMP-1438,40,Female,Marketing,Marketing Analyst,Master's,10,95628,5,4.0,2,0,0,2
EMP-1439,25,Female,Operations,Operations Manager,Bachelor's,4,54052,3,3.2,4,0,0,0
EMP-1440,50,Female,Finance,Accountant,Bachelor's,9,98306,5,2.7,5,0,0,2
EMP-1441,46,Male,Engineering,QA Engineer,Master's,5,134938,5,2.2,1,0,0,1
EMP-1442,50,Female,Operations,Logistics Coordinator,Bachelor's,18,104330,1,1.8,2,0,0,9
EMP-1443,55,Female,Operations,Logistics Coordinator,Bachelor's,1,82505,1,1.3,3,0,0,1
EMP-1444,27,Female,Operations,Operations Manager,Master's,5,60371,4,2.5,3,0,0,5
EMP-1445,38,Male,Finance,CFO,Bachelor's,14,89484,4,1.2,3,0,0,3
EMP-1446,29,Male,HR,HR Manager,Bachelor's,4,49817,5,1.6,1,0,0,0
EMP-1447,34,Male,Marketing,SEO Specialist,High School,9,59247,1,4.7,5,0,0,6
EMP-1448,44,Male,Operations,Supply Chain Analyst,Master's,19,81806,1,4.3,3,0,0,16
EMP-1449,58,Male,Finance,CFO,Bachelor's,19,114494,1,2.2,3,0,0,9
EMP-1450,47,Female,Engineering,Data Engineer,PhD,16,173168,5,2.1,4,1,0,10
EMP-1451,50,Male,Sales,Sales Manager,High School,12,69620,2,3.4,5,0,0,11
EMP-1452,57,Female,Sales,Sales Manager,Master's,5,69648,5,4.4,2,0,0,5
EMP-1453,41,Male,Operations,Supply Chain Analyst,Master's,16,117011,4,3.3,1,1,0,15
EMP-1454,41,Male,Operations,Logistics Coordinator,Master's,14,78704,4,1.6,1,1,0,0
EMP-1455,39,Male,HR,Recruiter,Master's,13,58214,5,4.2,4,0,0,11
EMP-1456,36,Male,HR,HR Manager,Bachelor's,5,72039,5,1.2,5,0,0,2
EMP-1457,30,Male,HR,Recruiter,Master's,2,66561,5,3.0,1,0,0,2
EMP-1458,51,Female,Operations,Logistics Coordinator,Master's,13,78661,5,2.8,3,0,0,6
EMP-1459,56,Male,Marketing,Marketing Analyst,Bachelor's,20,113712,2,4.1,5,1,0,16
EMP-1460,26,Non-binary,Operations,Supply Chain Analyst,Master's,4,94999,4,1.6,1,0,1,2
EMP-1461,53,Male,Engineering,DevOps,Bachelor's,13,127160,1,3.5,4,1,0,3
EMP-1462,39,Male,Sales,Sales Manager,Bachelor's,13,99172,1,4.2,1,1,0,8
EMP-1463,29,Female,Operations,Supply Chain Analyst,Bachelor's,3,47359,1,4.3,2,0,0,0
EMP-1464,34,Male,Sales,Sales Manager,Bachelor's,1,57866,4,2.3,3,1,0,1
EMP-1465,26,Female,Engineering,QA Engineer,Bachelor's,4,140530,4,4.2,4,0,1,0
EMP-1466,43,Female,Marketing,Content Strategist,Bachelor's,1,91968,1,4.4,3,1,0,0
EMP-1467,49,Male,Finance,CFO,Master's,10,101395,3,3.3,2,0,0,9
EMP-1468,55,Female,Sales,Account Manager,Bachelor's,18,78513,2,3.0,3,0,0,18
EMP-1469,51,Female,HR,HR Manager,Bachelor's,8,71615,5,2.0,4,0,0,4
EMP-1470,44,Male,Marketing,Content Strategist,Master's,2,61388,4,4.8,2,0,0,0
EMP-1471,24,Male,Sales,Sales Rep,Bachelor's,1,69083,3,1.4,5,0,1,0
EMP-1472,59,Female,Engineering,DevOps,Bachelor's,18,126049,2,2.7,3,0,0,5
EMP-1473,51,Male,Sales,Sales Manager,High School,10,55613,5,2.2,1,0,0,4
EMP-1474,26,Male,HR,HR Coordinator,Bachelor's,3,53510,2,3.5,4,0,0,0
EMP-1475,55,Female,Finance,CFO,Master's,3,116678,2,3.9,5,0,0,1
EMP-1476,22,Male,Operations,Supply Chain Analyst,Bachelor's,0,60377,1,4.4,1,0,0,0
EMP-1477,54,Male,Sales,Sales Rep,Bachelor's,7,76775,2,3.1,1,0,1,1
EMP-1478,53,Male,Sales,Sales Rep,Master's,1,84143,1,3.1,5,0,0,1
EMP-1479,58,Female,Sales,Sales Rep,Master's,7,70186,5,4.3,4,1,1,1
EMP-1480,29,Male,Finance,CFO,Master's,3,83312,2,1.5,2,0,0,0
EMP-1481,24,Male,Engineering,QA Engineer,Master's,3,153461,4,2.9,1,0,0,2
EMP-1482,46,Female,HR,Recruiter,Master's,10,79536,2,2.2,2,0,0,0
EMP-1483,52,Male,Operations,Supply Chain Analyst,Master's,20,113334,5,4.5,5,0,0,18
EMP-1484,52,Female,HR,HR Coordinator,PhD,12,87022,4,2.1,3,0,1,4
EMP-1485,22,Female,Engineering,Data Engineer,Master's,1,100136,3,3.4,3,0,0,0
EMP-1486,47,Male,Sales,Sales Manager,Master's,8,99168,1,2.9,2,0,1,4
EMP-1487,30,Male,Sales,Account Manager,Bachelor's,1,88121,3,2.0,4,1,1,1
EMP-1488,43,Female,Marketing,Marketing Analyst,Master's,3,82947,2,3.7,1,0,1,0
EMP-1489,25,Female,Sales,Account Manager,Bachelor's,1,70650,4,2.3,3,0,0,0
EMP-1490,42,Female,Marketing,SEO Specialist,Bachelor's,7,84951,4,1.7,3,1,0,6
EMP-1491,30,Male,HR,Recruiter,Bachelor's,4,58407,2,3.2,1,0,0,2
EMP-1492,44,Female,HR,HR Coordinator,Master's,17,66759,3,2.9,4,0,0,8
EMP-1493,35,Female,Engineering,Data Engineer,Bachelor's,2,146966,3,2.2,3,0,0,2
EMP-1494,32,Male,Operations,Supply Chain Analyst,Master's,6,96564,2,4.4,3,0,0,1
EMP-1495,54,Male,Sales,Account Manager,Bachelor's,8,85795,2,1.9,4,0,0,8
EMP-1496,41,Non-binary,Sales,Sales Manager,Master's,2,46445,4,4.4,5,1,0,2
EMP-1497,30,Female,Operations,Supply Chain Analyst,Master's,0,44331,3,4.9,3,1,0,0
EMP-1498,24,Male,Finance,CFO,High School,3,113124,2,1.5,4,0,0,1
EMP-1499,51,Male,Operations,Supply Chain Analyst,Master's,2,69788,1,4.3,3,0,0,2
EMP-1500,52,Male,Marketing,Content Strategist,PhD,0,84460,2,4.7,3,0,0,0
EMP-1501,49,Male,Operations,Supply Chain Analyst,Bachelor's,2,88246,3,4.8,4,0,0,1
EMP-1502,37,Female,Finance,Accountant,Bachelor's,13,95515,2,1.1,2,0,0,10
EMP-1503,58,Female,Finance,CFO,Master's,6,120033,2,4.5,4,0,0,6
EMP-1504,39,Female,Sales,Sales Manager,High School,0,76197,2,4.9,2,1,0,0
EMP-1505,27,Female,HR,Recruiter,Master's,3,54768,1,2.2,4,0,0,2
EMP-1506,54,Male,HR,HR Coordinator,High School,1,76481,4,4.0,2,0,0,1
EMP-1507,49,Male,Marketing,SEO Specialist,Bachelor's,19,103223,2,4.1,3,0,0,9
EMP-1508,28,Female,Engineering,Software Engineer,Bachelor's,7,133357,1,4.2,1,1,0,5
EMP-1509,53,Female,Marketing,SEO Specialist,Bachelor's,0,77504,4,3.4,4,0,0,0
EMP-1510,44,Female,Operations,Operations Manager,Master's,16,87198,5,1.3,5,0,0,9
EMP-1511,50,Female,Engineering,Software Engineer,Bachelor's,9,299525,3,2.1,4,1,0,0
EMP-1512,35,Female,Sales,Sales Rep,Bachelor's,2,47834,2,3.1,3,1,1,0
EMP-1513,38,Male,Engineering,DevOps,Master's,9,100836,3,3.7,4,1,0,7
EMP-1514,49,Female,Marketing,SEO Specialist,Master's,5,71366,5,4.4,3,0,0,5
EMP-1515,47,Female,Operations,Logistics Coordinator,Bachelor's,7,91020,3,3.1,3,0,0,4
EMP-1516,26,Female,Marketing,SEO Specialist,Bachelor's,4,86563,1,4.3,4,0,0,1
EMP-1517,31,Female,Marketing,SEO Specialist,Bachelor's,4,86507,4,2.3,1,0,1,4
EMP-1518,24,Female,Engineering,Data Engineer,Master's,2,103337,3,1.7,2,0,0,1
EMP-1519,30,Male,Operations,Supply Chain Analyst,High School,4,81635,4,1.6,5,0,0,2
EMP-1520,54,Female,Finance,CFO,Bachelor's,5,110908,1,1.2,1,0,1,4
EMP-1521,28,Male,Marketing,Content Strategist,Bachelor's,6,106722,4,2.2,3,0,0,2
EMP-1522,35,Female,Sales,Sales Rep,Master's,7,87480,2,3.2,3,1,0,5
EMP-1523,52,Female,Sales,Account Manager,Master's,14,100712,3,4.7,1,0,1,0
EMP-1524,24,Male,Marketing,Marketing Analyst,Master's,3,60552,3,1.5,4,1,0,0
EMP-1525,29,Male,Operations,Logistics Coordinator,PhD,4,74320,4,4.2,3,0,0,1
EMP-1526,39,Female,Finance,Accountant,Bachelor's,5,69190,2,2.5,2,0,0,2
EMP-1527,58,Female,Engineering,DevOps,Bachelor's,8,135325,4,4.6,3,1,0,7
EMP-1528,23,Male,HR,HR Manager,Bachelor's,1,41390,3,1.3,5,0,1,0
EMP-1529,33,Male,Marketing,Content Strategist,Master's,0,70190,5,4.1,4,1,0,0
EMP-1530,43,Male,Sales,Sales Rep,Bachelor's,5,61789,1,2.3,3,1,0,1
EMP-1531,26,Male,Marketing,Content Strategist,Bachelor's,3,63308,2,1.2,1,0,0,1
EMP-1532,45,Male,Finance,Financial Analyst,Bachelor's,17,88669,2,3.4,1,0,0,5
EMP-1533,40,Male,Marketing,Content Strategist,Bachelor's,10,108662,4,2.9,2,1,0,5
EMP-1534,24,Female,Operations,Logistics Coordinator,Bachelor's,0,95030,3,3.7,5,1,0,0
EMP-1535,38,Female,Engineering,Data Engineer,Master's,8,439215,1,2.9,5,1,0,6
EMP-1536,58,Male,Marketing,Marketing Analyst,High School,4,65544,5,1.9,2,1,0,4
EMP-1537,49,Female,Operations,Logistics Coordinator,Master's,6,57072,4,2.5,5,0,0,6
EMP-1538,43,Male,Marketing,SEO Specialist,Bachelor's,8,76281,3,3.5,2,0,0,7
EMP-1539,45,Female,Finance,Financial Analyst,Bachelor's,8,85826,2,2.4,4,0,0,6
EMP-1540,46,Female,Marketing,SEO Specialist,Bachelor's,14,119007,2,2.3,2,1,0,0
EMP-1541,38,Female,Operations,Operations Manager,Bachelor's,8,95339,5,1.9,1,0,0,8
EMP-1542,30,Male,Finance,Financial Analyst,Bachelor's,5,94624,4,4.9,2,0,0,5
EMP-1543,35,Female,Finance,CFO,Bachelor's,7,113941,1,4.6,5,0,0,7
EMP-1544,35,Male,Marketing,Marketing Analyst,Master's,3,104363,3,2.1,1,0,0,2
EMP-1545,45,Male,HR,HR Coordinator,Bachelor's,14,84324,3,2.1,5,0,0,7
EMP-1546,38,Male,Engineering,Software Engineer,Bachelor's,17,156627,2,4.1,5,1,0,14
EMP-1547,49,Female,Sales,Sales Manager,Bachelor's,13,107074,2,2.4,3,1,0,8
EMP-1548,26,Male,Sales,Sales Manager,Master's,5,74432,1,3.5,2,0,0,3
EMP-1549,34,Male,Marketing,Marketing Analyst,Master's,5,85291,5,1.8,4,0,0,0
EMP-1550,27,Female,Sales,Sales Rep,Bachelor's,1,49283,2,1.0,3,1,1,1
EMP-1551,49,Male,HR,HR Manager,Bachelor's,14,83080,3,3.0,1,1,0,13
EMP-1552,25,Male,HR,HR Coordinator,Bachelor's,0,76612,2,2.8,5,0,0,0
EMP-1553,48,Female,Finance,Financial Analyst,Master's,4,81310,1,3.1,1,0,0,0
EMP-1554,37,Male,Sales,Sales Rep,Master's,7,77646,1,2.7,4,0,1,5
EMP-1555,32,Male,Finance,CFO,Bachelor's,8,81825,2,4.2,5,0,0,3
EMP-1556,32,Male,Marketing,SEO Specialist,Master's,4,67939,2,3.2,1,0,0,3
EMP-1557,24,Female,HR,Recruiter,Master's,0,62483,1,1.0,5,0,0,0
EMP-1558,50,Female,Engineering,Data Engineer,Master's,9,95536,1,4.5,1,0,0,8
EMP-1559,53,Female,HR,HR Manager,Bachelor's,19,89279,2,4.9,1,0,0,0
EMP-1560,58,Male,Sales,Account Manager,Bachelor's,1,62473,4,4.3,2,0,1,0
EMP-1561,54,Female,Sales,Sales Rep,Master's,1,79996,1,3.3,5,0,0,0
EMP-1562,44,Female,HR,HR Manager,Master's,14,66814,4,2.4,2,0,0,6
EMP-1563,25,Female,Engineering,QA Engineer,Master's,2,121444,2,1.3,5,0,0,0
EMP-1564,55,Female,Sales,Account Manager,Bachelor's,6,53189,5,1.3,2,1,0,2
EMP-1565,48,Male,HR,HR Manager,Bachelor's,10,90013,4,1.5,5,0,0,10
EMP-1566,34,Male,Marketing,Marketing Analyst,Bachelor's,4,91048,5,1.7,4,0,0,2
EMP-1567,32,Female,Finance,Financial Analyst,Bachelor's,10,82150,5,1.3,3,0,0,7
EMP-1568,27,Female,Finance,CFO,Bachelor's,0,82458,2,2.4,3,0,0,0
EMP-1569,42,Female,Finance,Financial Analyst,Bachelor's,8,100904,2,4.8,1,0,0,2
EMP-1570,41,Male,Sales,Sales Rep,Bachelor's,4,68793,2,2.7,1,1,1,2
EMP-1571,57,Female,Sales,Sales Manager,Master's,14,107845,1,3.7,3,1,0,12
EMP-1572,29,Female,Finance,Accountant,Bachelor's,5,89330,2,3.7,2,0,0,1
EMP-1573,50,Female,HR,Recruiter,High School,13,89986,4,4.2,3,1,0,5
EMP-1574,23,Female,Sales,Sales Manager,Bachelor's,1,63435,4,4.3,2,0,0,1
EMP-1575,30,Female,Marketing,Content Strategist,Bachelor's,6,100940,4,1.8,4,1,0,5
EMP-1576,58,Female,HR,HR Coordinator,High School,1,39269,2,1.5,1,1,0,0
EMP-1577,32,Female,HR,HR Coordinator,Bachelor's,1,64906,5,1.1,5,0,0,1
EMP-1578,30,Male,Sales,Sales Rep,Bachelor's,6,72784,1,1.4,3,0,0,6
